PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
82.68,48.7,21.43,1.887,79.02,26.93,63.14,7.6,34.83
120.05,57.04,28.54,2.464,90.99,21.85,52.34,6.95,62.27
101.73,49.72,25.13,2.508,82.6,21.89,49.2,6.61,63.08
234.03,114.67,54.36,5.647,109.31,37.55,51.25,2.26,99.55
214.87,98.95,48.66,4.766,100.27,28.03,69.77,2.49,127.86
157.51,72.43,36.56,3.676,106.9,31.61,58.8,2.86,73.36
118.36,47.75,23.88,2.532,89.39,29.88,68.04,6.4,68.23
216.07,104.51,53.99,4.985,124.75,30.08,54.92,3.23,139.08
46.5,20.18,10.96,0.961,72.88,17.98,66.59,8.69,27.05
124.65,59.37,30.04,3.234,86.51,29.89,57.36,5.43,60.28
97.41,49.94,20.72,2.374,93.33,15.52,68.3,6.23,45.4
122.63,50.1,27.25,2.611,81.12,24.08,51.49,4.34,55.29
146.06,54.23,29.82,2.677,78.9,26.03,46.88,5.15,84.13
113.28,53.28,26.32,2.567,85.38,22.41,63.29,4.86,68.29
40.06,28.71,9.53,0.869,65.91,22.38,64.15,8.88,22.71
73.05,37.27,18.15,1.548,81.87,35.38,69.21,7.19,34.19
40.41,13.71,11.98,0.874,63.28,20.75,61.15,7.93,24.89
143.56,76.05,34.64,3.507,89.2,25.68,63.12,4.96,96.01
167.08,78.43,36.82,3.935,99.28,30.03,44.24,2.93,90.04
255.08,119.23,53.93,5.641,114.64,28.75,44.75,3.46,140.54
80.73,36.32,19.05,1.885,82.88,27.02,64.85,7.47,41.95
21.45,10.61,0.71,0.178,64.85,18.12,52.26,9.47,9.52
50.6,24.32,11.6,1.194,65.76,30.67,69.31,8.54,26.94
93.83,48.82,21.22,2.013,91.27,25.98,53.45,7.0,63.54
136.56,66.65,29.38,3.21,87.01,29.61,53.33,4.32,86.84
127.13,58.74,27.57,3.051,96.23,25.5,52.81,5.52,61.48
66.04,34.63,18.96,1.3,76.48,27.66,67.43,8.36,36.61
60.8,42.33,18.89,1.558,65.45,32.75,59.94,6.73,29.64
231.91,101.03,50.72,5.428,102.65,26.97,57.47,2.2,163.93
28.12,17.53,9.17,0.881,66.76,18.67,56.91,9.99,16.03
165.91,81.32,40.88,3.811,105.63,25.14,57.82,3.04,81.38
205.03,99.36,45.47,4.571,101.44,36.7,49.06,3.27,142.95
18.5,11.94,2.54,0.26,61.72,22.83,74.83,9.02,14.75
126.81,60.12,30.21,2.901,109.33,29.74,64.59,6.22,67.2
249.08,110.13,53.55,5.215,98.47,39.7,48.64,2.2,120.14
48.43,22.39,7.88,0.972,73.5,22.68,56.25,9.75,26.65
88.42,30.29,20.08,1.821,71.52,21.41,56.88,5.41,65.81
167.08,88.22,34.94,3.757,93.66,36.51,50.69,4.73,79.36
125.75,54.71,26.24,2.485,98.97,28.34,67.71,6.03,77.39
54.8,25.48,14.69,1.097,77.67,25.52,60.14,6.7,38.25
111.42,57.2,24.51,2.379,82.04,21.74,57.16,5.67,47.23
207.87,96.99,47.6,4.726,107.68,34.65,59.14,2.75,107.8
55.74,30.76,9.57,1.28,79.17,31.52,54.06,8.47,26.19
114.48,53.62,26.06,2.753,95.81,29.33,55.29,5.11,70.17
19.44,17.69,11.28,0.751,87.53,22.72,67.25,6.67,8.9
164.97,81.13,36.88,3.688,105.0,25.59,46.76,4.61,96.55
136.1,56.47,29.35,2.758,81.72,29.28,54.89,6.57,65.63
173.21,77.35,38.6,3.639,96.88,27.14,58.65,4.07,120.82
243.41,112.41,55.75,5.29,126.08,31.64,48.55,2.09,174.3
199.69,87.16,46.34,4.774,114.79,27.93,49.28,3.89,109.98
249.54,114.23,55.66,5.353,118.92,32.58,31.61,2.51,176.34
36.6,14.7,3.28,0.85,72.98,25.67,52.57,7.55,25.48
